date,odometer,gallons,cost,notes,tags,partial_fuelup,missed_fuelup,source,fuelio_unique_id
2023-08-02,89017,8.041,29.74,3.699/gal,Fuelio,0,0,Fuelio backup,
2023-08-12,89346,10.007,37.02,3.700/gal,Fuelio,0,0,Fuelio backup,
2023-08-14,89675,10.122,36.94,3.650/gal,Fuelio,0,0,Fuelio backup,
2023-09-02,89991,9.675,34.83,3.600/gal,Fuelio,0,0,Fuelio backup,
2023-09-25,90227,8.236,29.64,3.599/gal,Fuelio,0,0,Fuelio backup,
2023-09-26,90520,8.750,31.49,3.599/gal,Fuelio,0,0,Fuelio backup,
2023-11-12,90732,7.332,23.09,3.149/gal,Fuelio,0,0,Fuelio backup,
2023-11-19,91077,9.766,30.26,3.099/gal,Fuelio,0,0,Fuelio backup,
2023-11-22,91391,8.872,28.38,3.199/gal,Fuelio,0,0,Fuelio backup,
2023-12-09,91714,9.884,30.14,3.049/gal,Fuelio,0,0,Fuelio backup,
2024-02-10,91929,7.844,22.27,2.839/gal,Fuelio,0,0,Fuelio backup,
2024-02-18,92240,9.783,28.36,2.899/gal,Fuelio,0,0,Fuelio backup,
2024-03-02,92579,10.077,29.93,2.970/gal,Fuelio,0,0,Fuelio backup,
2024-04-19,93252,9.109,29.15,3.200/gal,Fuelio,0,0,Fuelio backup,
2024-04-21,93622,10.684,35.14,3.289/gal,Fuelio,0,0,Fuelio backup,
2024-04-28,93840,7.037,22.51,3.199/gal,Fuelio,0,0,Fuelio backup,
2024-04-28,94178,10.205,33.26,3.259/gal,Fuelio,0,0,Fuelio backup,
2024-04-29,94426,7.268,23.69,3.259/gal,Fuelio,0,0,Fuelio backup,
2024-04-29,94763,9.937,31.79,3.199/gal,Fuelio,0,0,Fuelio backup,
2024-05-09,95052,9.307,29.03,3.119/gal,Fuelio,0,0,Fuelio backup,
2024-05-25,95261,7.590,23.52,3.099/gal,Fuelio,0,0,Fuelio backup,
2024-05-25,95498,6.486,21.40,3.299/gal,Fuelio,0,0,Fuelio backup,
2024-06-16,96027,6.544,19.96,3.050/gal,Fuelio,0,0,Fuelio backup,
2024-06-16,96324,8.843,26.97,3.050/gal,Fuelio,0,0,Fuelio backup,
